iter	Logloss
0	0.6904425049
1	0.687963028
2	0.6853085327
3	0.6825075531
4	0.679683075
5	0.6772564697
6	0.6744270325
7	0.6719052124
8	0.6692113495
9	0.6664810181
10	0.6641178131
11	0.6618254852
12	0.6597374725
13	0.6572047424
14	0.6550538635
15	0.6521960449
16	0.6502679443
17	0.6481948853
18	0.6460734558
19	0.6439611816
20	0.6417303467
21	0.6393743896
22	0.6372725677
23	0.6355715942
24	0.6336654663
25	0.6313829041
26	0.6294248199
27	0.6271187592
28	0.6253216553
29	0.6237554932
30	0.6220569229
31	0.6198220062
32	0.6180811691
33	0.616497879
34	0.6148078918
35	0.6135158539
36	0.6120275116
37	0.6103657913
38	0.6087832642
39	0.6072463226
40	0.6060729218
41	0.6044911194
42	0.6029009628
43	0.6018113708
44	0.6005491638
45	0.5990924835
46	0.5976597214
47	0.5963931274
48	0.5948898697
49	0.5935016632
50	0.592285881
51	0.5906771469
52	0.5892948914
53	0.5882894135
54	0.5872307587
55	0.5861995316
56	0.5850989151
57	0.5837293243
58	0.5825443268
59	0.5815444565
60	0.5802910614
61	0.5786953735
62	0.5774106598
63	0.5766928101
64	0.5758112717
65	0.5749038696
66	0.5739383316
67	0.5730261993
68	0.5720357132
69	0.5712263107
70	0.5702967072
71	0.5692829132
72	0.5683021927
73	0.5673641968
74	0.566479187
75	0.5657596588
76	0.564901123
77	0.5636891556
78	0.5625505066
79	0.5617842865
80	0.560801239
81	0.5599194717
82	0.5590707016
83	0.5580725098
84	0.5572273254
85	0.5565776825
86	0.5557206345
87	0.5549677277
88	0.5542452621
89	0.5535347748
90	0.552789917
91	0.5519131851
92	0.5510457611
93	0.5502431488
94	0.5495381927
95	0.5487767792
96	0.548050766
97	0.5473056793
98	0.5465842438
99	0.5458122253
100	0.5451696777
101	0.5447201157
102	0.5440349579
103	0.5433152008
104	0.542869339
105	0.5421425247
106	0.5416419983
107	0.5409812164
108	0.540194397
109	0.5394528198
110	0.5386356354
111	0.5380234528
112	0.5374396515
113	0.5368569946
114	0.5362292099
115	0.535741272
116	0.5350787354
