iter	Passed	Remaining
0	4	4006
1	7	3630
2	11	3890
3	15	3982
4	19	3855
5	22	3736
6	26	3723
7	30	3748
8	33	3691
9	36	3599
10	39	3549
11	43	3556
12	47	3588
13	50	3563
14	54	3555
15	57	3540
16	62	3593
17	65	3593
18	69	3563
19	72	3538
20	76	3548
21	80	3585
22	84	3571
23	87	3554
24	90	3542
25	94	3551
26	99	3570
27	102	3567
28	106	3553
29	110	3557
30	113	3539
31	116	3517
32	119	3503
33	124	3529
34	128	3534
35	131	3524
36	134	3510
37	138	3516
38	145	3577
39	148	3575
40	152	3562
41	156	3576
42	161	3600
43	165	3588
44	168	3576
45	172	3576
46	176	3571
47	179	3556
48	182	3545
49	186	3540
50	190	3535
51	193	3535
52	198	3538
53	201	3536
54	205	3530
55	209	3524
56	212	3515
57	216	3510
58	219	3506
59	223	3502
60	227	3496
61	230	3482
62	233	3472
63	237	3475
64	241	3467
65	244	3456
66	247	3445
67	250	3435
68	254	3440
69	258	3431
70	261	3425
71	265	3418
72	269	3417
73	272	3413
74	276	3410
75	279	3397
76	282	3387
77	286	3380
78	289	3378
79	293	3372
80	296	3369
81	300	3364
82	304	3362
83	307	3355
84	310	3345
85	314	3339
86	318	3338
87	321	3332
88	324	3323
89	327	3314
90	331	3308
91	335	3308
92	338	3303
93	341	3295
94	345	3287
95	349	3291
96	353	3294
97	357	3287
98	360	3278
99	363	3274
100	367	3273
101	371	3268
102	374	3261
103	377	3255
104	381	3255
105	385	3251
106	388	3246
107	392	3242
108	395	3234
109	399	3230
110	402	3226
111	406	3222
112	410	3218
113	413	3214
114	417	3209
115	420	3205
116	424	3201
117	427	3196
118	431	3197
119	435	3191
120	438	3183
121	441	3178
122	444	3172
123	449	3173
124	452	3167
125	455	3162
126	459	3160
127	463	3156
128	466	3150
129	469	3143
130	473	3138
131	476	3131
132	479	3126
133	483	3121
134	486	3118
135	490	3115
136	493	3110
137	497	3107
138	501	3104
139	505	3103
140	508	3097
141	511	3091
142	515	3087
143	518	3080
144	521	3074
145	524	3067
146	528	3066
147	531	3062
148	535	3056
149	538	3050
150	541	3045
151	546	3046
152	549	3041
153	552	3037
154	556	3034
155	560	3030
156	563	3026
157	567	3022
158	570	3015
159	573	3009
160	576	3004
161	580	3003
162	583	2996
163	586	2991
164	590	2989
165	594	2986
166	597	2982
167	601	2976
168	604	2972
169	607	2968
170	612	2967
171	615	2964
172	626	2994
173	629	2989
174	632	2982
175	635	2975
176	639	2973
177	643	2972
178	646	2966
179	649	2960
180	653	2956
181	657	2955
182	661	2955
183	665	2951
184	668	2945
185	672	2941
186	676	2940
187	680	2937
188	683	2931
189	686	2926
190	689	2922
191	693	2918
192	696	2911
193	699	2907
194	702	2901
195	707	2900
196	710	2897
197	713	2891
198	717	2888
199	722	2888
200	725	2883
201	728	2878
202	732	2874
203	735	2869
204	739	2868
205	742	2863
206	746	2858
207	749	2854
208	753	2851
209	756	2846
210	759	2840
211	763	2836
212	766	2831
213	769	2827
214	773	2824
215	776	2819
216	779	2813
217	783	2810
218	787	2807
219	790	2804
220	794	2799
221	797	2795
222	800	2790
223	804	2787
224	808	2784
225	811	2778
226	814	2774
227	818	2770
228	822	2767
229	825	2765
230	829	2760
231	833	2758
232	836	2753
233	839	2747
234	842	2742
235	845	2737
236	849	2733
237	852	2729
238	855	2724
239	858	2718
240	862	2715
241	865	2711
242	869	2709
243	873	2705
244	876	2700
245	879	2695
246	883	2692
247	886	2688
248	890	2684
249	893	2680
250	897	2676
251	901	2674
252	904	2670
253	907	2665
254	910	2661
255	914	2657
256	918	2654
257	921	2651
258	925	2648
259	929	2644
260	932	2640
261	935	2636
262	939	2632
263	942	2628
264	946	2625
265	950	2622
266	953	2617
267	956	2612
268	960	2609
269	963	2605
270	967	2602
271	970	2597
272	973	2593
273	977	2589
274	980	2586
275	984	2582
276	987	2577
277	991	2574
278	994	2570
279	998	2567
280	1001	2562
281	1004	2557
282	1007	2553
283	1011	2549
284	1014	2545
285	1018	2542
286	1022	2538
287	1025	2535
288	1028	2531
289	1031	2526
290	1035	2521
291	1038	2517
292	1041	2514
293	1045	2510
294	1049	2507
295	1052	2502
296	1055	2498
